V,I
0,-0
0.01,1e-005
0.02,2e-005
0.03,3e-005
0.04,4e-005
0.05,5e-005
0.06,6e-005
0.07,7e-005
0.08,8e-005
0.09,9e-005
0.1,0.0001
0.11,0.00011
0.12,0.00012
0.13,0.00013
0.14,0.00014
0.15,0.00015
0.16,0.00016
0.17,0.00017
0.18,0.00018
0.19,0.00019
0.2,0.0002
0.21,0.00021
0.22,0.00022
0.23,0.00023
0.24,0.00024
0.25,0.00025
0.26,0.00026
0.27,0.00027
0.28,0.00028
0.29,0.00029
0.3,0.0003
0.31,0.00031
0.32,0.00032
0.33,0.00033
0.34,0.00034
0.35,0.00035
0.36,0.00036
0.37,0.00037
0.38,0.00038
0.39,0.00039
0.4,0.0004
0.41,0.00041
0.42,0.00042
0.43,0.00043
0.44,0.00044
0.45,0.00045
0.46,0.00046
0.47,0.00047
0.48,0.00048
0.49,0.00049
0.5,0.0005
0.51,0.00051
0.52,0.00052
0.53,0.00053
0.54,0.00054
0.55,0.00055
0.56,0.00056
0.57,0.00057
0.58,0.00058
0.59,0.00059
0.6,0.0006
0.61,0.00061
0.62,0.00062
0.63,0.00063
0.64,0.00064
0.65,0.00065
0.66,0.00066
0.67,0.00067
0.68,0.00068
0.69,0.00069
0.7,0.0007
0.71,0.00071
0.72,0.00072
0.73,0.00073
0.74,0.00074
0.75,0.00075
0.76,0.00076
0.77,0.00077
0.78,0.00078
0.79,0.00079
0.8,0.0008
0.81,0.00081
0.82,0.00082
0.83,0.00083
0.84,0.00084
0.85,0.00085
0.86,0.00086
0.87,0.00087
0.88,0.00088
0.89,0.00089
0.9,0.0009
0.91,0.00091
0.92,0.00092
0.93,0.00093
0.94,0.00094
0.95,0.00095
0.96,0.00096
0.97,0.00097
0.98,0.00098
0.99,0.00099
1,0.001
1.01,0.00101
1.02,0.00102
1.03,0.00103
1.04,0.00104
1.05,0.00105
1.06,0.00106
1.07,0.00107
1.08,0.00108
1.09,0.00109
1.1,0.0011
1.11,0.00111
1.12,0.00112
1.13,0.00113
1.14,0.00114
1.15,0.00115
1.16,0.00116
1.17,0.00117
1.18,0.00118
1.19,0.00119
1.2,0.0012
1.21,0.00121
1.22,0.00122
1.23,0.00123
1.24,0.00124
1.25,0.00125
1.26,0.00126
1.27,0.00127
1.28,0.00128
1.29,0.00129
1.3,0.0013
1.31,0.00131
1.32,0.00132
1.33,0.00133
1.34,0.00134
1.35,0.00135
1.36,0.00136
1.37,0.00137
1.38,0.00138
1.39,0.00139
1.4,0.0014
1.41,0.00141
1.42,0.00142
1.43,0.00143
1.44,0.00144
1.45,0.00145
1.46,0.00146
1.47,0.00147
1.48,0.00148
1.49,0.00149
1.5,0.0015
1.51,0.00151
1.52,0.00152
1.53,0.00153
1.54,0.00154
1.55,0.00155
1.56,0.00156
1.57,0.00157
1.58,0.00158
1.59,0.00159
1.6,0.0016
1.61,0.00161
1.62,0.00162
1.63,0.00163
1.64,0.00164
1.65,0.00165
1.66,0.00166
1.67,0.00167
1.68,0.00168
1.69,0.00169
1.7,0.0017
1.71,0.00171
1.72,0.00172
1.73,0.00173
1.74,0.00174
1.75,0.00175
1.76,0.00176
1.77,0.00177
1.78,0.00178
1.79,0.00179
1.8,0.0018
1.81,0.00181
1.82,0.00182
1.83,0.00183
1.84,0.00184
1.85,0.00185
1.86,0.00186
1.87,0.00187
1.88,0.00188
1.89,0.00189
1.9,0.0019
1.91,0.00191
1.92,0.00192
1.93,0.00193
1.94,0.00194
1.95,0.00195
1.96,0.00196
1.97,0.00197
1.98,0.00198
1.99,0.00199
2,0.002
2.01,0.00201
2.02,0.00202
2.03,0.00203
2.04,0.00204
2.05,0.00205
2.06,0.00206
2.07,0.00207
2.08,0.00208
2.09,0.00209
2.1,0.0021
2.11,0.00211
2.12,0.00212
2.13,0.00213
2.14,0.00214
2.15,0.00215
2.16,0.00216
2.17,0.00217
2.18,0.00218
2.19,0.00219
2.2,0.0022
2.21,0.00221
2.22,0.00222
2.23,0.00223
2.24,0.00224
2.25,0.00225
2.26,0.00226
2.27,0.00227
2.28,0.00228
2.29,0.00229
2.3,0.0023
2.31,0.00231
2.32,0.00232
2.33,0.00233
2.34,0.00234
2.35,0.00235
2.36,0.00236
2.37,0.00237
2.38,0.00238
2.39,0.00239
2.4,0.0024
2.41,0.00241
2.42,0.00242
2.43,0.00243
2.44,0.00244
2.45,0.00245
2.46,0.00246
2.47,0.00247
2.48,0.00248
2.49,0.00249
2.5,0.0025
2.51,0.00251
2.52,0.00252
2.53,0.00253
2.54,0.00254
2.55,0.00255
2.56,0.00256
2.57,0.00257
2.58,0.00258
2.59,0.00259
2.6,0.0026
2.61,0.00261
2.62,0.00262
2.63,0.00263
2.64,0.00264
2.65,0.00265
2.66,0.00266
2.67,0.00267
2.68,0.00268
2.69,0.00269
2.7,0.0027
2.71,0.00271
2.72,0.00272
2.73,0.00273
2.74,0.00274
2.75,0.00275
2.76,0.00276
2.77,0.00277
2.78,0.00278
2.79,0.00279
2.8,0.0028
2.81,0.00281
2.82,0.00282
2.83,0.00283
2.84,0.00284
2.85,0.00285
2.86,0.00286
2.87,0.00287
2.88,0.00288
2.89,0.00289
2.9,0.0029
2.91,0.00291
2.92,0.00292
2.93,0.00293
2.94,0.00294
2.95,0.00295
2.96,0.00296
2.97,0.00297
2.98,0.00298
2.99,0.00299
3,0.003
3.01,0.00301
3.02,0.00302
3.03,0.00303
3.04,0.00304
3.05,0.00305
3.06,0.00306
3.07,0.00307
3.08,0.00308
3.09,0.00309
3.1,0.0031
3.11,0.00311
3.12,0.00312
3.13,0.00313
3.14,0.00314
3.15,0.00315
3.16,0.00316
3.17,0.00317
3.18,0.00318
3.19,0.00319
3.2,0.0032
3.21,0.00321
3.22,0.00322
3.23,0.00323
3.24,0.00324
3.25,0.00325
3.26,0.00326
3.27,0.00327
3.28,0.00328
3.29,0.00329
3.3,0.0033
3.31,0.00331
3.32,0.00332
3.33,0.00333
3.34,0.00334
3.35,0.00335
3.36,0.00336
3.37,0.00337
3.38,0.00338
3.39,0.00339
3.4,0.0034
3.41,0.00341
3.42,0.00342
3.43,0.00343
3.44,0.00344
3.45,0.00345
3.46,0.00346
3.47,0.00347
3.48,0.00348
3.49,0.00349
3.5,0.0035
3.51,0.00351
3.52,0.00352
3.53,0.00353
3.54,0.00354
3.55,0.00355
3.56,0.00356
3.57,0.00357
3.58,0.00358
3.59,0.00359
3.6,0.0036
3.61,0.00361
3.62,0.00362
3.63,0.00363
3.64,0.00364
3.65,0.00365
3.66,0.00366
3.67,0.00367
3.68,0.00368
3.69,0.00369
3.7,0.0037
3.71,0.00371
3.72,0.00372
3.73,0.00373
3.74,0.00374
3.75,0.00375
3.76,0.00376
3.77,0.00377
3.78,0.00378
3.79,0.00379
3.8,0.0038
3.81,0.00381
3.82,0.00382
3.83,0.00383
3.84,0.00384
3.85,0.00385
3.86,0.00386
3.87,0.00387
3.88,0.00388
3.89,0.00389
3.9,0.0039
3.91,0.00391
3.92,0.00392
3.93,0.00393
3.94,0.00394
3.95,0.00395
3.96,0.00396
3.97,0.00397
3.98,0.00398
3.99,0.00399
4,0.004
4.01,0.00401
4.02,0.00402
4.03,0.00403
4.04,0.00404
4.05,0.00405
4.06,0.00406
4.07,0.00407
4.08,0.00408
4.09,0.00409
4.1,0.0041
4.11,0.00411
4.12,0.00412
4.13,0.00413
4.14,0.00414
4.15,0.00415
4.16,0.00416
4.17,0.00417
4.18,0.00418
4.19,0.00419
4.2,0.0042
4.21,0.00421
4.22,0.00422
4.23,0.00423
4.24,0.00424
4.25,0.00425
4.26,0.00426
4.27,0.00427
4.28,0.00428
4.29,0.00429
4.3,0.0043
4.31,0.00431
4.32,0.00432
4.33,0.00433
4.34,0.00434
4.35,0.00435
4.36,0.00436
4.37,0.00437
4.38,0.00438
4.39,0.00439
4.4,0.0044
4.41,0.00441
4.42,0.00442
4.43,0.00443
4.44,0.00444
4.45,0.00445
4.46,0.00446
4.47,0.00447
4.48,0.00448
4.49,0.00449
4.5,0.0045
4.51,0.00451
4.52,0.00452
4.53,0.00453
4.54,0.00454
4.55,0.00455
4.56,0.00456
4.57,0.00457
4.58,0.00458
4.59,0.00459
4.6,0.0046
4.61,0.00461
4.62,0.00462
4.63,0.00463
4.64,0.00464
4.65,0.00465
4.66,0.00466
4.67,0.00467
4.68,0.00468
4.69,0.00469
4.7,0.0047
4.71,0.00471
4.72,0.00472
4.73,0.00473
4.74,0.00474
4.75,0.00475
4.76,0.00476
4.77,0.00477
4.78,0.00478
4.79,0.00479
4.8,0.0048
4.81,0.00481
4.82,0.00482
4.83,0.00483
4.84,0.00484
4.85,0.00485
4.86,0.00486
4.87,0.00487
4.88,0.00488
4.89,0.00489
4.9,0.0049
4.91,0.00491
4.92,0.00492
4.93,0.00493
4.94,0.00494
4.95,0.00495
4.96,0.00496
4.97,0.00497
4.98,0.00498
4.99,0.00499
5,0.005
5.01,0.00501
5.02,0.00502
5.03,0.00503
5.04,0.00504
5.05,0.00505
5.06,0.00506
5.07,0.00507
5.08,0.00508
5.09,0.00509
5.1,0.0051
5.11,0.00511
5.12,0.00512
5.13,0.00513
5.14,0.00514
5.15,0.00515
5.16,0.00516
5.17,0.00517
5.18,0.00518
5.19,0.00519
5.2,0.0052
5.21,0.00521
5.22,0.00522
5.23,0.00523
5.24,0.00524
5.25,0.00525
5.26,0.00526
5.27,0.00527
5.28,0.00528
5.29,0.00529
5.3,0.0053
5.31,0.00531
5.32,0.00532
5.33,0.00533
5.34,0.00534
5.35,0.00535
5.36,0.00536
5.37,0.00537
5.38,0.00538
5.39,0.00539
5.4,0.0054
5.41,0.00541
5.42,0.00542
5.43,0.00543
5.44,0.00544
5.45,0.00545
5.46,0.00546
5.47,0.00547
5.48,0.00548
5.49,0.00549
5.5,0.0055
5.51,0.00551
5.52,0.00552
5.53,0.00553
5.54,0.00554
5.55,0.00555
5.56,0.00556
5.57,0.00557
5.58,0.00558
5.59,0.00559
5.6,0.0056
5.61,0.00561
5.62,0.00562
5.63,0.00563
5.64,0.00564
5.65,0.00565
5.66,0.00566
5.67,0.00567
5.68,0.00568
5.69,0.00569
5.7,0.0057
5.71,0.00571
5.72,0.00572
5.73,0.00573
5.74,0.00574
5.75,0.00575
5.76,0.00576
5.77,0.00577
5.78,0.00578
5.79,0.00579
5.8,0.0058
5.81,0.00581
5.82,0.00582
5.83,0.00583
5.84,0.00584
5.85,0.00585
5.86,0.00586
5.87,0.00587
5.88,0.00588
5.89,0.00589
5.9,0.0059
5.91,0.00591
5.92,0.00592
5.93,0.00593
5.94,0.00594
5.95,0.00595
5.96,0.00596
5.97,0.00597
5.98,0.00598
5.99,0.00599
6,0.006
6.01,0.00601
6.02,0.00602
6.03,0.00603
6.04,0.00604
6.05,0.00605
6.06,0.00606
6.07,0.00607
6.08,0.00608
6.09,0.00609
6.1,0.0061
6.11,0.00611
6.12,0.00612
6.13,0.00613
6.14,0.00614
6.15,0.00615
6.16,0.00616
6.17,0.00617
6.18,0.00618
6.19,0.00619
6.2,0.0062
6.21,0.00621
6.22,0.00622
6.23,0.00623
6.24,0.00624
6.25,0.00625
6.26,0.00626
6.27,0.00627
6.28,0.00628
6.29,0.00629
6.3,0.0063
6.31,0.00631
6.32,0.00632
6.33,0.00633
6.34,0.00634
6.35,0.00635
6.36,0.00636
6.37,0.00637
6.38,0.00638
6.39,0.00639
6.4,0.0064
6.41,0.00641
6.42,0.00642
6.43,0.00643
6.44,0.00644
6.45,0.00645
6.46,0.00646
6.47,0.00647
6.48,0.00648
6.49,0.00649
6.5,0.0065
6.51,0.00651
6.52,0.00652
6.53,0.00653
6.54,0.00654
6.55,0.00655
6.56,0.00656
6.57,0.00657
6.58,0.00658
6.59,0.00659
6.6,0.0066
6.61,0.00661
6.62,0.00662
6.63,0.00663
6.64,0.00664
6.65,0.00665
6.66,0.00666
6.67,0.00667
6.68,0.00668
6.69,0.00669
6.7,0.0067
6.71,0.00671
6.72,0.00672
6.73,0.00673
6.74,0.00674
6.75,0.00675
6.76,0.00676
6.77,0.00677
6.78,0.00678
6.79,0.00679
6.8,0.0068
6.81,0.00681
6.82,0.00682
6.83,0.00683
6.84,0.00684
6.85,0.00685
6.86,0.00686
6.87,0.00687
6.88,0.00688
6.89,0.00689
6.9,0.0069
6.91,0.00691
6.92,0.00692
6.93,0.00693
6.94,0.00694
6.95,0.00695
6.96,0.00696
6.97,0.00697
6.98,0.00698
6.99,0.00699
7,0.007
7.01,0.00701
7.02,0.00702
7.03,0.00703
7.04,0.00704
7.05,0.00705
7.06,0.00706
7.07,0.00707
7.08,0.00708
7.09,0.00709
7.1,0.0071
7.11,0.00711
7.12,0.00712
7.13,0.00713
7.14,0.00714
7.15,0.00715
7.16,0.00716
7.17,0.00717
7.18,0.00718
7.19,0.00719
7.2,0.0072
7.21,0.00721
7.22,0.00722
7.23,0.00723
7.24,0.00724
7.25,0.00725
7.26,0.00726
7.27,0.00727
7.28,0.00728
7.29,0.00729
7.3,0.0073
7.31,0.00731
7.32,0.00732
7.33,0.00733
7.34,0.00734
7.35,0.00735
7.36,0.00736
7.37,0.00737
7.38,0.00738
7.39,0.00739
7.4,0.0074
7.41,0.00741
7.42,0.00742
7.43,0.00743
7.44,0.00744
7.45,0.00745
7.46,0.00746
7.47,0.00747
7.48,0.00748
7.49,0.00749
7.5,0.0075
7.51,0.00751
7.52,0.00752
7.53,0.00753
7.54,0.00754
7.55,0.00755
7.56,0.00756
7.57,0.00757
7.58,0.00758
7.59,0.00759
7.6,0.0076
7.61,0.00761
7.62,0.00762
7.63,0.00763
7.64,0.00764
7.65,0.00765
7.66,0.00766
7.67,0.00767
7.68,0.00768
7.69,0.00769
7.7,0.0077
7.71,0.00771
7.72,0.00772
7.73,0.00773
7.74,0.00774
7.75,0.00775
7.76,0.00776
7.77,0.00777
7.78,0.00778
7.79,0.00779
7.8,0.0078
7.81,0.00781
7.82,0.00782
7.83,0.00783
7.84,0.00784
7.85,0.00785
7.86,0.00786
7.87,0.00787
7.88,0.00788
7.89,0.00789
7.9,0.0079
7.91,0.00791
7.92,0.00792
7.93,0.00793
7.94,0.00794
7.95,0.00795
7.96,0.00796
7.97,0.00797
7.98,0.00798
7.99,0.00799
8,0.008
8.01,0.00801
8.02,0.00802
8.03,0.00803
8.04,0.00804
8.05,0.00805
8.06,0.00806
8.07,0.00807
8.08,0.00808
8.09,0.00809
8.1,0.0081
8.11,0.00811
8.12,0.00812
8.13,0.00813
8.14,0.00814
8.15,0.00815
8.16,0.00816
8.17,0.00817
8.18,0.00818
8.19,0.00819
8.2,0.0082
8.21,0.00821
8.22,0.00822
8.23,0.00823
8.24,0.00824
8.25,0.00825
8.26,0.00826
8.27,0.00827
8.28,0.00828
8.29,0.00829
8.3,0.0083
8.31,0.00831
8.32,0.00832
8.33,0.00833
8.34,0.00834
8.35,0.00835
8.36,0.00836
8.37,0.00837
8.38,0.00838
8.39,0.00839
8.4,0.0084
8.41,0.00841
8.42,0.00842
8.43,0.00843
8.44,0.00844
8.45,0.00845
8.46,0.00846
8.47,0.00847
8.48,0.00848
8.49,0.00849
8.5,0.0085
8.51,0.00851
8.52,0.00852
8.53,0.00853
8.54,0.00854
8.55,0.00855
8.56,0.00856
8.57,0.00857
8.58,0.00858
8.59,0.00859
8.6,0.0086
8.61,0.00861
8.62,0.00862
8.63,0.00863
8.64,0.00864
8.65,0.00865
8.66,0.00866
8.67,0.00867
8.68,0.00868
8.69,0.00869
8.7,0.0087
8.71,0.00871
8.72,0.00872
8.73,0.00873
8.74,0.00874
8.75,0.00875
8.76,0.00876
8.77,0.00877
8.78,0.00878
8.79,0.00879
8.8,0.0088
8.81,0.00881
8.82,0.00882
8.83,0.00883
8.84,0.00884
8.85,0.00885
8.86,0.00886
8.87,0.00887
8.88,0.00888
8.89,0.00889
8.9,0.0089
8.91,0.00891
8.92,0.00892
8.93,0.00893
8.94,0.00894
8.95,0.00895
8.96,0.00896
8.97,0.00897
8.98,0.00898
8.99,0.00899
9,0.009
9.01,0.00901
9.02,0.00902
9.03,0.00903
9.04,0.00904
9.05,0.00905
9.06,0.00906
9.07,0.00907
9.08,0.00908
9.09,0.00909
9.1,0.0091
9.11,0.00911
9.12,0.00912
9.13,0.00913
9.14,0.00914
9.15,0.00915
9.16,0.00916
9.17,0.00917
9.18,0.00918
9.19,0.00919
9.2,0.0092
9.21,0.00921
9.22,0.00922
9.23,0.00923
9.24,0.00924
9.25,0.00925
9.26,0.00926
9.27,0.00927
9.28,0.00928
9.29,0.00929
9.3,0.0093
9.31,0.00931
9.32,0.00932
9.33,0.00933
9.34,0.00934
9.35,0.00935
9.36,0.00936
9.37,0.00937
9.38,0.00938
9.39,0.00939
9.4,0.0094
9.41,0.00941
9.42,0.00942
9.43,0.00943
9.44,0.00944
9.45,0.00945
9.46,0.00946
9.47,0.00947
9.48,0.00948
9.49,0.00949
9.5,0.0095
9.51,0.00951
9.52,0.00952
9.53,0.00953
9.54,0.00954
9.55,0.00955
9.56,0.00956
9.57,0.00957
9.58,0.00958
9.59,0.00959
9.6,0.0096
9.61,0.00961
9.62,0.00962
9.63,0.00963
9.64,0.00964
9.65,0.00965
9.66,0.00966
9.67,0.00967
9.68,0.00968
9.69,0.00969
9.7,0.0097
9.71,0.00971
9.72,0.00972
9.73,0.00973
9.74,0.00974
9.75,0.00975
9.76,0.00976
9.77,0.00977
9.78,0.00978
9.79,0.00979
9.8,0.0098
9.81,0.00981
9.82,0.00982
9.83,0.00983
9.84,0.00984
9.85,0.00985
9.86,0.00986
9.87,0.00987
9.88,0.00988
9.89,0.00989
9.9,0.0099
9.91,0.00991
9.92,0.00992
9.93,0.00993
9.94,0.00994
9.95,0.00995
9.96,0.00996
9.97,0.00997
9.98,0.00998
9.99,0.00999
10,0.01
10.01,0.01001
10.02,0.01002
10.03,0.01003
10.04,0.01004
10.05,0.01005
10.06,0.01006
10.07,0.01007
10.08,0.01008
10.09,0.01009
10.1,0.0101
10.11,0.01011
10.12,0.01012
10.13,0.01013
10.14,0.01014
10.15,0.01015
10.16,0.01016
10.17,0.01017
10.18,0.01018
10.19,0.01019
10.2,0.0102
10.21,0.01021
10.22,0.01022
10.23,0.01023
10.24,0.01024
10.25,0.01025
10.26,0.01026
10.27,0.01027
10.28,0.01028
10.29,0.01029
10.3,0.0103
10.31,0.01031
10.32,0.01032
10.33,0.01033
10.34,0.01034
10.35,0.01035
10.36,0.01036
10.37,0.01037
10.38,0.01038
10.39,0.01039
10.4,0.0104
10.41,0.01041
10.42,0.01042
10.43,0.01043
10.44,0.01044
10.45,0.01045
10.46,0.01046
10.47,0.01047
10.48,0.01048
10.49,0.01049
10.5,0.0105
10.51,0.01051
10.52,0.01052
10.53,0.01053
10.54,0.01054
10.55,0.01055
10.56,0.01056
10.57,0.01057
10.58,0.01058
10.59,0.01059
10.6,0.0106
10.61,0.01061
10.62,0.01062
10.63,0.01063
10.64,0.01064
10.65,0.01065
10.66,0.01066
10.67,0.01067
10.68,0.01068
10.69,0.01069
10.7,0.0107
10.71,0.01071
10.72,0.01072
10.73,0.01073
10.74,0.01074
10.75,0.01075
10.76,0.01076
10.77,0.01077
10.78,0.01078
10.79,0.01079
10.8,0.0108
10.81,0.01081
10.82,0.01082
10.83,0.01083
10.84,0.01084
10.85,0.01085
10.86,0.01086
10.87,0.01087
10.88,0.01088
10.89,0.01089
10.9,0.0109
10.91,0.01091
10.92,0.01092
10.93,0.01093
10.94,0.01094
10.95,0.01095
10.96,0.01096
10.97,0.01097
10.98,0.01098
10.99,0.01099
11,0.011
11.01,0.01101
11.02,0.01102
11.03,0.01103
11.04,0.01104
11.05,0.01105
11.06,0.01106
11.07,0.01107
11.08,0.01108
11.09,0.01109
11.1,0.0111
11.11,0.01111
11.12,0.01112
11.13,0.01113
11.14,0.01114
11.15,0.01115
11.16,0.01116
11.17,0.01117
11.18,0.01118
11.19,0.01119
11.2,0.0112
11.21,0.01121
11.22,0.01122
11.23,0.01123
11.24,0.01124
11.25,0.01125
11.26,0.01126
11.27,0.01127
11.28,0.01128
11.29,0.01129
11.3,0.0113
11.31,0.01131
11.32,0.01132
11.33,0.01133
11.34,0.01134
11.35,0.01135
11.36,0.01136
11.37,0.01137
11.38,0.01138
11.39,0.01139
11.4,0.0114
