V,I
0.6,1.09111e-009
0.6001,1.09322e-009
0.6002,1.09533e-009
0.6003,1.09745e-009
0.6004,1.09957e-009
0.6005,1.1017e-009
0.6006,1.10383e-009
0.6007,1.10596e-009
0.6008,1.1081e-009
0.6009,1.11024e-009
0.601,1.11239e-009
0.6011,1.11454e-009
0.6012,1.11669e-009
0.6013,1.11885e-009
0.6014,1.12101e-009
0.6015,1.12318e-009
0.6016,1.12535e-009
0.6017,1.12753e-009
0.6018,1.12971e-009
0.6019,1.13189e-009
0.602,1.13408e-009
0.6021,1.13627e-009
0.6022,1.13847e-009
0.6023,1.14067e-009
0.6024,1.14287e-009
0.6025,1.14508e-009
0.6026,1.1473e-009
0.6027,1.14951e-009
0.6028,1.15174e-009
0.6029,1.15396e-009
0.603,1.15619e-009
0.6031,1.15843e-009
0.6032,1.16067e-009
0.6033,1.16291e-009
0.6034,1.16516e-009
0.6035,1.16741e-009
0.6036,1.16967e-009
0.6037,1.17193e-009
0.6038,1.1742e-009
0.6039,1.17647e-009
0.604,1.17874e-009
0.6041,1.18102e-009
0.6042,1.1833e-009
0.6043,1.18559e-009
0.6044,1.18788e-009
0.6045,1.19018e-009
0.6046,1.19248e-009
0.6047,1.19478e-009
0.6048,1.19709e-009
0.6049,1.19941e-009
0.605,1.20173e-009
0.6051,1.20405e-009
0.6052,1.20638e-009
0.6053,1.20871e-009
0.6054,1.21105e-009
0.6055,1.21339e-009
0.6056,1.21573e-009
0.6057,1.21808e-009
0.6058,1.22044e-009
0.6059,1.2228e-009
0.606,1.22516e-009
0.6061,1.22753e-009
0.6062,1.2299e-009
0.6063,1.23228e-009
0.6064,1.23466e-009
0.6065,1.23705e-009
0.6066,1.23944e-009
0.6067,1.24184e-009
0.6068,1.24424e-009
0.6069,1.24665e-009
0.607,1.24906e-009
0.6071,1.25147e-009
0.6072,1.25389e-009
0.6073,1.25631e-009
0.6074,1.25874e-009
0.6075,1.26118e-009
0.6076,1.26361e-009
0.6077,1.26606e-009
0.6078,1.2685e-009
0.6079,1.27096e-009
0.608,1.27341e-009
0.6081,1.27588e-009
0.6082,1.27834e-009
0.6083,1.28081e-009
0.6084,1.28329e-009
0.6085,1.28577e-009
0.6086,1.28826e-009
0.6087,1.29075e-009
0.6088,1.29324e-009
0.6089,1.29574e-009
0.609,1.29825e-009
0.6091,1.30076e-009
0.6092,1.30327e-009
0.6093,1.30579e-009
0.6094,1.30832e-009
0.6095,1.31085e-009
0.6096,1.31338e-009
0.6097,1.31592e-009
0.6098,1.31847e-009
0.6099,1.32101e-009
0.61,1.32357e-009
0.6101,1.32613e-009
0.6102,1.32869e-009
0.6103,1.33126e-009
0.6104,1.33383e-009
0.6105,1.33641e-009
