V,I
0.6,0.000118797
0.6001,0.000119257
0.6002,0.00011972
0.6003,0.000120183
0.6004,0.000120649
0.6005,0.000121116
0.6006,0.000121586
0.6007,0.000122057
0.6008,0.000122529
0.6009,0.000123004
0.601,0.000123481
0.6011,0.000123959
0.6012,0.000124439
0.6013,0.000124921
0.6014,0.000125405
0.6015,0.000125891
0.6016,0.000126379
0.6017,0.000126868
0.6018,0.00012736
0.6019,0.000127853
0.602,0.000128348
0.6021,0.000128845
0.6022,0.000129345
0.6023,0.000129846
0.6024,0.000130349
0.6025,0.000130854
0.6026,0.00013136
0.6027,0.000131869
0.6028,0.00013238
0.6029,0.000132893
0.603,0.000133408
0.6031,0.000133925
0.6032,0.000134443
0.6033,0.000134964
0.6034,0.000135487
0.6035,0.000136012
0.6036,0.000136539
0.6037,0.000137068
0.6038,0.000137599
0.6039,0.000138132
0.604,0.000138667
0.6041,0.000139204
0.6042,0.000139743
0.6043,0.000140285
0.6044,0.000140828
0.6045,0.000141374
0.6046,0.000141921
0.6047,0.000142471
0.6048,0.000143023
0.6049,0.000143577
0.605,0.000144133
0.6051,0.000144691
0.6052,0.000145252
0.6053,0.000145815
0.6054,0.00014638
0.6055,0.000146947
0.6056,0.000147516
0.6057,0.000148087
0.6058,0.000148661
0.6059,0.000149237
0.606,0.000149815
0.6061,0.000150395
0.6062,0.000150978
0.6063,0.000151563
0.6064,0.00015215
0.6065,0.000152739
0.6066,0.000153331
0.6067,0.000153925
0.6068,0.000154521
0.6069,0.00015512
0.607,0.000155721
0.6071,0.000156324
0.6072,0.00015693
0.6073,0.000157537
0.6074,0.000158148
0.6075,0.00015876
0.6076,0.000159375
0.6077,0.000159993
0.6078,0.000160613
0.6079,0.000161235
0.608,0.000161859
0.6081,0.000162486
0.6082,0.000163116
0.6083,0.000163748
0.6084,0.000164382
0.6085,0.000165019
0.6086,0.000165658
0.6087,0.0001663
0.6088,0.000166944
0.6089,0.000167591
0.609,0.00016824
0.6091,0.000168892
0.6092,0.000169546
0.6093,0.000170203
0.6094,0.000170862
0.6095,0.000171524
0.6096,0.000172188
0.6097,0.000172855
0.6098,0.000173525
0.6099,0.000174197
0.61,0.000174872
0.6101,0.00017555
0.6102,0.00017623
0.6103,0.000176912
0.6104,0.000177598
0.6105,0.000178286
0.6106,0.000178976
0.6107,0.00017967
0.6108,0.000180366
0.6109,0.000181064
0.611,0.000181766
0.6111,0.00018247
0.6112,0.000183177
0.6113,0.000183886
0.6114,0.000184599
0.6115,0.000185314
0.6116,0.000186032
0.6117,0.000186752
0.6118,0.000187476
0.6119,0.000188202
0.612,0.000188931
0.6121,0.000189663
0.6122,0.000190398
0.6123,0.000191135
0.6124,0.000191876
0.6125,0.000192619
0.6126,0.000193365
0.6127,0.000194114
0.6128,0.000194866
0.6129,0.000195621
0.613,0.000196379
0.6131,0.00019714
0.6132,0.000197903
0.6133,0.00019867
0.6134,0.000199439
0.6135,0.000200212
0.6136,0.000200988
0.6137,0.000201766
0.6138,0.000202548
0.6139,0.000203333
0.614,0.00020412
0.6141,0.000204911
0.6142,0.000205705
0.6143,0.000206502
0.6144,0.000207302
0.6145,0.000208105
0.6146,0.000208911
0.6147,0.00020972
0.6148,0.000210532
0.6149,0.000211348
0.615,0.000212167
0.6151,0.000212989
0.6152,0.000213814
0.6153,0.000214642
0.6154,0.000215473
0.6155,0.000216308
0.6156,0.000217146
0.6157,0.000217987
0.6158,0.000218832
0.6159,0.000219679
0.616,0.00022053
0.6161,0.000221385
0.6162,0.000222242
0.6163,0.000223103
0.6164,0.000223968
0.6165,0.000224835
0.6166,0.000225706
0.6167,0.000226581
0.6168,0.000227458
0.6169,0.000228339
0.617,0.000229224
0.6171,0.000230112
0.6172,0.000231003
0.6173,0.000231898
0.6174,0.000232797
0.6175,0.000233698
0.6176,0.000234604
0.6177,0.000235512
0.6178,0.000236425
0.6179,0.000237341
0.618,0.00023826
0.6181,0.000239183
0.6182,0.00024011
0.6183,0.00024104
0.6184,0.000241974
0.6185,0.000242911
0.6186,0.000243852
0.6187,0.000244797
0.6188,0.000245745
0.6189,0.000246697
0.619,0.000247652
0.6191,0.000248612
0.6192,0.000249575
0.6193,0.000250542
0.6194,0.000251512
0.6195,0.000252487
0.6196,0.000253465
0.6197,0.000254447
0.6198,0.000255432
0.6199,0.000256422
0.62,0.000257415
0.6201,0.000258412
0.6202,0.000259413
0.6203,0.000260418
0.6204,0.000261427
0.6205,0.00026244
0.6206,0.000263456
0.6207,0.000264477
0.6208,0.000265502
0.6209,0.00026653
0.621,0.000267563
0.6211,0.000268599
0.6212,0.00026964
0.6213,0.000270684
0.6214,0.000271733
0.6215,0.000272785
0.6216,0.000273842
0.6217,0.000274903
0.6218,0.000275968
0.6219,0.000277037
0.622,0.00027811
0.6221,0.000279187
0.6222,0.000280269
0.6223,0.000281355
0.6224,0.000282445
0.6225,0.000283539
0.6226,0.000284637
0.6227,0.00028574
0.6228,0.000286847
0.6229,0.000287958
0.623,0.000289073
0.6231,0.000290193
0.6232,0.000291317
0.6233,0.000292446
0.6234,0.000293579
0.6235,0.000294716
0.6236,0.000295858
0.6237,0.000297004
0.6238,0.000298154
0.6239,0.000299309
0.624,0.000300469
0.6241,0.000301633
0.6242,0.000302801
0.6243,0.000303974
0.6244,0.000305152
0.6245,0.000306334
0.6246,0.000307521
0.6247,0.000308712
0.6248,0.000309908
0.6249,0.000311108
0.625,0.000312313
0.6251,0.000313523
0.6252,0.000314738
0.6253,0.000315957
0.6254,0.000317181
0.6255,0.00031841
0.6256,0.000319643
0.6257,0.000320882
0.6258,0.000322125
0.6259,0.000323372
0.626,0.000324625
0.6261,0.000325883
0.6262,0.000327145
0.6263,0.000328412
0.6264,0.000329685
0.6265,0.000330962
0.6266,0.000332244
0.6267,0.000333531
0.6268,0.000334823
0.6269,0.00033612
0.627,0.000337422
0.6271,0.000338729
0.6272,0.000340041
0.6273,0.000341359
0.6274,0.000342681
0.6275,0.000344008
0.6276,0.000345341
